building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
Industrial,47304,98,11,12.3,Weekday,6053.68
Commercial,36562,99,11,30.78,Weekend,4884.18
Industrial,19350,38,13,28.33,Weekend,3965.87
Residential,1739,61,26,30.51,Weekday,2614.4
Residential,32390,84,15,27.44,Weekday,4172.29
Industrial,45504,24,32,24.99,Weekday,5580.25
Residential,48790,58,38,28.79,Weekday,5185.54
Residential,37834,12,10,32.88,Weekend,3547.29
Residential,23650,82,29,20.36,Weekday,4030.72
Residential,46058,88,33,11.53,Weekday,5335.23
Commercial,9211,33,28,10.16,Weekend,3299.75
Industrial,21672,7,34,28.05,Weekday,4243.36
Industrial,39943,74,5,31.83,Weekday,5228.01
Commercial,1456,74,38,15.66,Weekend,3494.52
Commercial,20559,21,8,26.77,Weekday,3314.12
Residential,42960,78,33,19.33,Weekday,5041.34
Residential,42063,77,9,17.72,Weekend,4464.55
Residential,49488,99,41,17.6,Weekday,5746.4
Commercial,41657,76,38,32.07,Weekday,5492.51
Residential,2024,25,4,28.84,Weekend,1787.0
Industrial,10268,35,20,33.18,Weekday,3647.48
Industrial,11224,25,49,15.38,Weekend,4214.3
Commercial,40192,23,23,30.0,Weekend,4549.59
Industrial,25791,84,45,14.96,Weekend,5454.74
Residential,22292,25,43,24.55,Weekend,3601.83
Industrial,1114,14,40,12.59,Weekend,3432.74
Industrial,42707,4,44,16.78,Weekend,5471.43
Commercial,23540,80,10,15.5,Weekday,4149.49
Commercial,16938,36,13,15.51,Weekday,3439.34
Residential,17934,70,44,27.56,Weekday,3888.89
Industrial,37719,16,20,23.97,Weekday,4876.08
Industrial,4533,20,46,12.33,Weekday,3835.0
Commercial,34061,43,14,31.26,Weekday,4306.74
Residential,47555,34,29,24.16,Weekday,4726.97
Residential,34572,14,1,12.8,Weekend,3324.61
Residential,29552,42,38,25.04,Weekday,4082.39
Commercial,9874,5,19,20.65,Weekday,2870.44
Industrial,19597,89,6,23.69,Weekend,4371.38
Commercial,44665,36,2,13.93,Weekend,4563.58
Residential,18811,19,25,14.33,Weekday,3108.88
Residential,5795,17,42,33.72,Weekend,2631.16
Commercial,29035,5,34,19.77,Weekday,4132.91
Commercial,29365,18,24,12.93,Weekend,4063.62
Commercial,2606,30,2,29.63,Weekday,2372.16
Commercial,1322,81,2,15.38,Weekend,2839.18
Residential,20644,29,7,21.54,Weekday,2904.51
Commercial,38506,82,26,17.62,Weekend,5177.22
Residential,18524,78,4,33.5,Weekday,3168.71
Industrial,35122,56,41,34.55,Weekday,5513.36
Industrial,20549,68,4,24.59,Weekend,4164.5
Commercial,21439,24,42,15.79,Weekend,4073.01
Industrial,38073,87,22,34.18,Weekend,5542.74
Commercial,27205,44,14,11.38,Weekend,4023.35
Residential,33475,82,13,32.62,Weekend,4090.65
Residential,10347,94,8,17.91,Weekend,3027.78
Commercial,10896,71,17,16.99,Weekend,3509.87
Industrial,32909,47,29,33.37,Weekend,5028.58
Residential,36340,42,15,31.27,Weekend,3880.66
Residential,30129,29,33,23.73,Weekend,3837.78
Industrial,16869,10,13,20.89,Weekend,3598.99
Residential,20603,98,36,29.52,Weekend,4082.56
Industrial,34580,47,13,25.41,Weekend,4831.96
Commercial,30527,70,20,11.89,Weekday,4616.89
Commercial,22236,65,5,34.67,Weekend,3688.46
Industrial,9282,17,6,29.31,Weekday,3157.54
Industrial,4297,7,32,15.67,Weekday,3396.51
Residential,49345,22,18,11.87,Weekday,4537.9
Industrial,28645,32,43,12.86,Weekday,5097.96
Commercial,46148,5,20,29.6,Weekday,4659.4
Commercial,29757,3,6,11.91,Weekend,3578.29
Commercial,32765,26,9,10.52,Weekday,4075.67
Industrial,24558,80,8,24.3,Weekend,4566.41
Commercial,12842,60,39,25.63,Weekend,3893.95
Industrial,40464,89,17,34.04,Weekday,5633.01
Residential,43820,3,36,22.96,Weekday,4376.22
Industrial,1025,28,48,24.41,Weekday,3719.19
Commercial,33357,92,43,23.58,Weekend,5329.97
Commercial,24357,6,29,21.36,Weekend,3751.05
Industrial,46460,3,18,25.95,Weekend,5083.26
Commercial,39504,86,46,12.07,Weekday,5744.86
Residential,24010,87,36,19.67,Weekday,4242.17
Commercial,49287,60,42,18.31,Weekday,5862.82
Residential,41260,35,38,29.66,Weekend,4524.71
Commercial,40983,66,47,12.96,Weekday,5634.35
Residential,32847,34,35,19.28,Weekend,4085.95
Commercial,28029,38,15,18.72,Weekend,3987.84
Residential,46740,19,25,10.29,Weekend,4475.56
Industrial,39724,44,38,14.79,Weekday,5662.27
Industrial,33797,86,13,13.96,Weekday,5290.06
Commercial,45238,72,47,20.95,Weekday,5867.13
Commercial,5584,21,9,29.51,Weekend,2521.63
Commercial,46697,70,7,25.71,Weekday,5096.3
Residential,47804,99,38,31.79,Weekend,5481.27
Residential,23696,85,29,11.31,Weekend,4058.25
Commercial,46219,49,41,29.52,Weekend,5473.33
Industrial,42273,99,36,21.27,Weekend,6217.3
Industrial,48017,1,8,32.46,Weekday,4958.57
Industrial,16396,79,49,10.39,Weekend,5037.86
Industrial,39841,47,7,25.25,Weekday,5025.81
Residential,21109,78,36,10.33,Weekend,4003.79
Commercial,4518,85,27,15.09,Weekend,3540.45
Residential,25838,75,27,24.06,Weekday,4011.58
Residential,36423,89,29,18.3,Weekday,4749.64
Industrial,27223,86,44,30.86,Weekend,5446.83
Industrial,31963,69,5,10.24,Weekday,4886.94
Commercial,41860,28,34,23.64,Weekend,4934.8
Commercial,47100,5,1,10.13,Weekend,4374.33
Commercial,5148,72,18,26.98,Weekend,3202.5
Industrial,23519,55,45,14.99,Weekday,5101.01
Residential,1620,72,23,20.14,Weekend,2660.28
Residential,2579,32,49,12.3,Weekend,2867.44
Industrial,42374,36,28,29.67,Weekend,5390.35
Residential,42740,60,22,15.42,Weekday,4649.88
Industrial,43908,1,28,19.15,Weekday,5219.66
Residential,40787,35,4,13.99,Weekday,3949.4
Residential,39530,59,25,23.69,Weekday,4498.07
Residential,10895,18,26,34.47,Weekday,2622.38
Commercial,33562,61,41,34.63,Weekend,4934.94
Residential,26321,89,43,13.9,Weekend,4496.55
Commercial,41901,23,26,33.56,Weekend,4677.23
Commercial,13213,79,30,26.73,Weekend,3916.99
Residential,22230,16,25,29.13,Weekend,3125.85
Residential,29102,31,41,32.35,Weekday,3973.35
Residential,29692,13,45,26.11,Weekend,3884.07
Residential,48979,61,1,24.54,Weekday,4506.27
Commercial,36955,71,27,28.08,Weekend,4957.36
Residential,13724,13,4,20.76,Weekday,2342.38
Commercial,39209,67,24,21.48,Weekend,5003.05
Industrial,34677,55,29,18.34,Weekend,5272.15
Residential,29509,64,47,14.73,Weekend,4481.81
Residential,47233,66,8,10.16,Weekday,4680.87
Residential,38500,42,49,25.31,Weekend,4698.47
Commercial,19756,61,47,33.38,Weekend,4370.89
Residential,31159,35,42,17.84,Weekday,4208.74
Commercial,17675,48,36,19.41,Weekday,4036.68
Commercial,20123,13,19,24.92,Weekday,3441.55
Residential,25361,77,26,24.09,Weekend,3937.59
Residential,49256,82,35,30.7,Weekend,5329.29
Residential,35339,85,27,32.39,Weekend,4494.99
Commercial,12153,75,23,16.83,Weekend,3733.52
Industrial,39698,85,36,17.99,Weekday,6014.94
Industrial,18833,30,25,22.66,Weekday,4178.36
Residential,21081,5,25,26.29,Weekend,2972.61
Industrial,15061,43,21,26.86,Weekday,4018.77
Industrial,41631,13,6,29.32,Weekend,4684.93
Industrial,19529,85,19,28.85,Weekday,4612.22
Residential,33539,21,15,28.71,Weekday,3593.42
Residential,28196,74,19,24.55,Weekend,3907.03
Commercial,3420,61,49,12.65,Weekend,3697.77
Commercial,2982,15,13,11.71,Weekend,2500.56
Commercial,18881,54,6,19.05,Weekday,3558.78
Commercial,32623,65,29,27.67,Weekday,4772.8
Commercial,47214,48,20,22.94,Weekend,5126.0
Commercial,27237,39,41,15.33,Weekend,4495.21
Commercial,27288,32,42,11.26,Weekday,4518.12
Residential,30257,72,10,33.34,Weekday,3816.15
Commercial,49653,89,37,26.33,Weekend,5980.98
Industrial,26349,88,46,10.79,Weekend,5563.48
Residential,37629,17,14,21.58,Weekend,3723.56
Commercial,41696,98,43,33.1,Weekday,5809.3
Industrial,14098,16,45,19.1,Weekend,4169.39
Commercial,37435,26,35,21.64,Weekday,4773.54
Commercial,8470,50,46,26.35,Weekday,3761.75
Residential,25019,19,35,28.29,Weekday,3549.48
Industrial,16501,63,45,10.2,Weekday,4854.04
Residential,13909,62,21,18.76,Weekend,3141.67
Residential,802,17,40,20.5,Weekday,2457.6
Industrial,18523,79,45,22.39,Weekday,5054.19
Industrial,10003,3,47,10.74,Weekend,3916.46
Industrial,32684,99,38,34.99,Weekend,5709.26
Industrial,46039,41,36,31.89,Weekday,5822.52
Commercial,22063,92,8,33.62,Weekend,4015.07
Commercial,20008,99,41,11.55,Weekend,4752.66
Commercial,20433,78,30,29.41,Weekend,4254.59
Industrial,40474,82,6,21.1,Weekend,5358.22
Commercial,42787,40,48,23.38,Weekend,5382.43
Residential,35696,70,47,10.4,Weekday,4922.82
Industrial,20837,1,13,26.45,Weekday,3729.59
Residential,43259,33,41,30.12,Weekday,4712.33
Residential,14112,3,17,21.0,Weekend,2470.59
Industrial,26022,24,21,29.31,Weekend,4314.56
Commercial,26119,34,27,29.2,Weekend,4039.93
Residential,40248,68,20,30.71,Weekday,4488.84
Commercial,24395,60,5,15.03,Weekend,3844.62
Industrial,13880,28,19,24.15,Weekend,3733.24
Residential,39163,12,44,10.73,Weekday,4454.51
Commercial,4472,15,34,21.32,Weekday,2996.99
Industrial,20316,69,29,11.85,Weekday,4776.54
Residential,38067,14,23,26.61,Weekend,3870.32
Commercial,7138,60,27,34.94,Weekday,3372.2
Commercial,25417,49,49,22.92,Weekday,4676.25
Commercial,7040,4,20,22.82,Weekday,2727.89
Industrial,7679,58,32,28.94,Weekday,4009.27
Industrial,5257,74,12,12.58,Weekend,3679.96
Industrial,6868,36,6,14.81,Weekend,3249.36
Commercial,18940,44,33,23.53,Weekday,3979.37
Industrial,22427,8,13,26.21,Weekday,3880.32
Commercial,36744,71,40,30.41,Weekend,5195.15
Commercial,35411,67,23,30.46,Weekday,4798.25
Residential,43701,7,12,18.49,Weekday,3952.58
Residential,44827,94,34,27.86,Weekday,5272.05
Residential,18405,38,24,19.24,Weekday,3234.06
Commercial,15523,52,1,27.67,Weekend,3177.82
Commercial,46000,39,41,33.57,Weekend,5342.17
Industrial,3520,59,13,21.37,Weekend,3419.14
Residential,29926,32,43,27.22,Weekday,4090.2
Residential,15359,36,13,19.89,Weekend,2788.49
Commercial,39782,84,26,16.19,Weekend,5268.16
Residential,6871,26,19,33.73,Weekday,2364.9
Residential,29234,39,17,34.43,Weekend,3519.56
Industrial,28435,9,22,21.98,Weekday,4391.84
Commercial,38373,1,27,20.26,Weekday,4417.34
Industrial,16208,73,40,15.37,Weekend,4763.57
Industrial,13781,99,29,12.46,Weekend,4696.73
Industrial,14635,19,27,12.28,Weekend,3900.33
Industrial,26463,57,21,31.59,Weekend,4655.22
Industrial,37938,98,17,11.14,Weekday,5711.22
Commercial,35546,52,4,26.35,Weekend,4245.53
Industrial,11289,11,26,18.42,Weekend,3602.33
Commercial,48788,53,11,31.31,Weekend,5032.83
Residential,5945,16,23,34.38,Weekday,2295.33
Residential,38109,62,39,15.16,Weekend,4729.67
Residential,17225,6,9,30.23,Weekday,2500.08
Commercial,49270,28,38,23.08,Weekday,5438.11
Residential,43020,32,34,11.75,Weekday,4642.27
Residential,49638,29,15,20.88,Weekday,4517.48
Commercial,27130,7,34,14.73,Weekend,4032.83
Commercial,11583,48,17,23.29,Weekday,3332.69
Residential,46663,15,28,11.5,Weekday,4535.64
Industrial,1779,84,14,31.84,Weekday,3599.73
Industrial,18588,7,17,19.39,Weekday,3792.47
Commercial,22680,62,21,16.37,Weekend,4092.14
Commercial,37698,4,21,11.07,Weekday,4339.55
Commercial,37648,60,18,21.25,Weekend,4736.14
Industrial,27990,85,31,23.93,Weekend,5249.84
Industrial,49768,51,22,34.91,Weekend,5763.85
Residential,22227,56,49,12.86,Weekend,4087.05
Residential,15898,83,20,29.5,Weekend,3377.38
Residential,8406,25,36,19.48,Weekday,2842.91
Industrial,23779,92,6,18.96,Weekday,4684.16
Industrial,2550,97,45,34.58,Weekday,4374.59
Industrial,47719,92,7,32.82,Weekend,5781.83
Commercial,36112,17,42,28.54,Weekday,4722.9
Industrial,20456,50,6,33.53,Weekend,3975.14
Industrial,46265,68,38,18.13,Weekday,6212.59
Residential,46526,14,20,27.93,Weekday,4276.66
Residential,2262,36,49,16.09,Weekend,2872.63
Industrial,10681,71,47,19.75,Weekday,4635.28
Residential,49438,93,17,13.31,Weekday,5225.35
Commercial,1935,96,28,30.73,Weekend,3463.09
Commercial,12036,61,47,26.75,Weekend,4018.05
Residential,12612,65,5,28.73,Weekday,2786.93
Residential,28288,52,19,31.72,Weekend,3655.82
Commercial,12055,52,28,19.62,Weekday,3634.65
Industrial,38758,7,41,10.05,Weekday,5327.65
Industrial,32380,1,21,19.77,Weekday,4500.16
Residential,26392,13,9,12.69,Weekend,3066.15
Industrial,47956,8,22,34.4,Weekend,5245.78
Commercial,45580,26,1,29.63,Weekday,4460.84
Residential,6276,75,36,33.11,Weekend,3118.23
Commercial,36340,33,20,16.2,Weekday,4516.02
Industrial,49270,19,39,11.26,Weekend,5877.19
Commercial,31790,46,31,27.09,Weekend,4534.07
Industrial,33820,56,8,21.32,Weekday,4854.4
Residential,3073,33,17,17.03,Weekday,2288.52
Residential,38743,65,23,10.2,Weekday,4546.15
Residential,14494,2,9,32.68,Weekday,2311.29
Commercial,12418,73,13,17.02,Weekend,3525.79
Commercial,10024,54,40,10.49,Weekday,3838.73
Residential,24070,2,49,24.59,Weekend,3580.56
Residential,47690,39,11,33.49,Weekday,4377.04
Industrial,17014,91,8,26.94,Weekday,4336.02
Industrial,26515,45,25,33.47,Weekday,4658.38
Industrial,14359,69,40,19.94,Weekday,4658.27
Residential,9320,40,44,21.16,Weekend,3140.2
Commercial,26517,64,29,15.46,Weekend,4468.57
Industrial,34223,98,6,29.74,Weekday,5212.46
Commercial,39025,86,10,22.42,Weekday,4949.14
Residential,5203,86,14,20.59,Weekend,2797.21
Commercial,29986,93,9,19.04,Weekend,4514.09
Commercial,25650,21,28,25.14,Weekday,3976.81
Residential,26623,37,11,23.25,Weekend,3304.91
Industrial,47117,83,45,11.05,Weekend,6530.6
Industrial,21616,26,48,32.4,Weekday,4688.81
Residential,32360,40,13,29.55,Weekend,3630.24
Residential,11925,76,9,23.05,Weekend,2921.01
Residential,34162,48,26,33.54,Weekday,4090.41
Commercial,2469,92,41,13.26,Weekend,3797.14
Residential,7222,44,39,34.91,Weekend,2906.57
Residential,30720,3,15,10.22,Weekend,3314.91
Residential,28673,31,15,11.19,Weekend,3487.69
Commercial,16809,49,26,16.35,Weekday,3818.71
Commercial,33281,6,26,17.8,Weekday,4205.07
Industrial,25438,21,16,23.73,Weekday,4233.24
Residential,48138,85,22,19.9,Weekday,5147.4
Industrial,36446,92,43,16.56,Weekday,6069.51
Residential,48408,2,15,27.49,Weekend,4102.94
Industrial,28970,23,49,21.63,Weekend,5050.37
Residential,45133,39,39,13.3,Weekday,4910.15
Industrial,31311,60,27,17.31,Weekday,5168.99
Residential,45528,32,32,28.7,Weekend,4592.9
Industrial,30475,92,3,13.61,Weekend,4935.7
Commercial,32919,92,8,27.03,Weekday,4640.78
Industrial,32205,21,17,15.18,Weekday,4634.34
Commercial,41100,8,49,20.38,Weekday,5063.09
Commercial,25503,95,9,17.83,Weekday,4366.0
Residential,36685,63,12,22.54,Weekend,4091.56
Residential,8313,4,43,23.99,Weekday,2745.7
Industrial,12675,2,47,11.93,Weekend,4034.11
Commercial,16871,93,38,33.96,Weekday,4413.74
Commercial,2639,21,25,22.54,Weekday,2779.25
Industrial,47795,9,15,34.61,Weekday,5156.72
Commercial,10150,31,15,33.79,Weekday,2998.57
Industrial,3541,80,7,29.86,Weekend,3467.74
Commercial,27160,10,19,21.96,Weekday,3778.19
Industrial,26655,70,48,17.14,Weekend,5407.04
Commercial,41624,87,20,32.78,Weekday,5237.3
Industrial,23616,86,33,18.76,Weekend,5107.0
Industrial,48864,68,11,29.85,Weekend,5693.96
Residential,11883,54,48,14.77,Weekday,3570.31
Commercial,24527,30,11,18.62,Weekend,3653.25
Commercial,37811,25,22,19.14,Weekday,4534.85
Residential,20041,80,49,22.83,Weekday,4217.88
Residential,9610,66,1,20.77,Weekend,2556.63
Industrial,42346,20,37,33.31,Weekend,5390.76
Commercial,15548,98,45,18.19,Weekday,4616.46
Industrial,11882,17,2,31.5,Weekend,3146.62
Residential,38658,55,45,23.86,Weekday,4813.61
Commercial,3219,27,13,17.65,Weekend,2602.69
Industrial,37266,88,31,21.87,Weekend,5753.93
Industrial,37301,38,35,20.22,Weekday,5393.95
Residential,23893,18,37,31.43,Weekday,3507.49
Industrial,49981,2,18,27.43,Weekend,5241.89
Residential,14075,72,27,15.1,Weekend,3388.25
Industrial,43323,15,4,33.67,Weekend,4727.81
Residential,27116,51,16,22.81,Weekend,3571.76
Industrial,45584,52,11,20.78,Weekend,5415.31
Commercial,16350,14,38,18.39,Weekday,3675.54
Residential,32383,88,47,28.41,Weekday,4847.12
Industrial,10677,97,12,14.15,Weekend,4173.1
Residential,6204,63,35,17.94,Weekday,3100.51
Commercial,46667,39,1,30.88,Weekday,4638.97
Commercial,24363,10,35,25.87,Weekday,3938.82
Commercial,35201,67,9,21.08,Weekend,4504.67
Industrial,23034,29,14,33.52,Weekday,4104.1
Commercial,781,4,34,22.51,Weekday,2696.49
Residential,31023,97,23,20.52,Weekend,4378.55
Industrial,32466,29,26,15.49,Weekday,4905.84
Residential,18809,12,27,29.52,Weekday,3002.83
Residential,18264,49,34,22.35,Weekend,3471.43
Commercial,25360,34,26,14.98,Weekday,4103.09
Commercial,15163,11,40,11.06,Weekend,3612.86
Residential,33481,90,26,23.91,Weekday,4524.49
Commercial,44741,78,12,32.66,Weekday,5143.73
Industrial,2698,22,37,19.58,Weekend,3496.99
Residential,45069,37,17,20.4,Weekend,4361.43
Commercial,37179,82,22,14.12,Weekend,5048.34
Industrial,46663,55,1,22.99,Weekday,5338.19
Residential,42344,5,30,32.29,Weekday,4155.74
Commercial,33687,90,14,13.13,Weekend,4798.68
Commercial,30948,96,37,20.06,Weekend,5147.11
Commercial,27338,37,49,33.14,Weekday,4601.21
Industrial,44986,5,41,29.42,Weekend,5472.2
Residential,34875,63,24,33.71,Weekday,4235.19
Industrial,3749,11,4,21.49,Weekend,2769.99
Industrial,1119,11,29,19.96,Weekday,3196.17
Residential,13176,2,47,11.58,Weekend,3060.91
Commercial,45423,22,2,16.32,Weekend,4449.57
Residential,7505,70,41,19.04,Weekday,3350.06
Residential,46903,30,3,27.65,Weekday,4116.88
Industrial,32784,10,11,19.06,Weekend,4363.9
Residential,4925,30,36,18.33,Weekday,2724.62
Industrial,49151,45,45,15.8,Weekend,6228.54
Industrial,10826,21,28,17.38,Weekend,3724.42
Commercial,40559,32,38,30.26,Weekend,4956.67
Industrial,44564,58,21,26.4,Weekday,5646.19
Residential,37614,11,12,14.63,Weekend,3657.53
Residential,9446,43,47,20.27,Weekday,3290.94
Residential,10722,79,40,25.83,Weekend,3496.97
Residential,30045,42,5,31.62,Weekend,3364.13
Industrial,41735,5,39,15.27,Weekend,5340.39
Commercial,20346,3,1,28.49,Weekend,2924.87
Residential,6395,10,32,22.76,Weekday,2495.93
Commercial,30587,70,36,15.27,Weekend,4873.0
Industrial,20522,88,42,31.58,Weekend,5088.21
Industrial,40387,31,37,20.24,Weekday,5518.13
Industrial,15751,9,13,29.07,Weekday,3542.19
Commercial,18158,46,3,21.1,Weekday,3372.41
Industrial,20194,60,45,22.82,Weekend,4895.61
Residential,8304,98,46,18.82,Weekday,3771.12
Residential,3724,16,10,26.17,Weekend,1915.37
Commercial,10382,63,31,13.89,Weekend,3699.65
Residential,29930,63,6,24.99,Weekend,3621.53
Commercial,42399,58,35,13.49,Weekend,5332.5
Residential,33630,96,32,32.11,Weekend,4620.93
Commercial,26931,31,11,25.59,Weekday,3798.62
Residential,4314,43,17,31.12,Weekend,2330.09
Residential,27185,92,8,13.46,Weekday,3921.95
Residential,23999,7,37,13.91,Weekday,3490.41
Residential,16835,19,7,33.47,Weekday,2554.39
Commercial,17587,72,4,14.08,Weekday,3658.93
Residential,12439,20,33,13.16,Weekday,2966.16
Residential,28132,49,9,20.74,Weekday,3522.9
Commercial,46889,54,28,17.07,Weekend,5359.1
Residential,49401,60,13,18.44,Weekday,4787.86
Residential,26059,16,19,28.69,Weekday,3249.48
Residential,5306,73,42,31.2,Weekday,3229.31
Industrial,15652,17,3,20.72,Weekend,3408.98
Residential,37880,72,28,16.73,Weekday,4640.37
Commercial,25553,96,25,30.45,Weekday,4635.4
Commercial,45741,21,33,28.63,Weekday,5063.9
Residential,35701,19,17,29.9,Weekend,3665.55
Residential,26789,57,4,16.0,Weekday,3459.45
Residential,34749,42,46,33.41,Weekend,4410.42
Industrial,8570,9,45,26.94,Weekday,3833.81
Industrial,31773,60,19,26.02,Weekday,4988.57
Residential,32654,74,48,29.06,Weekend,4687.39
Industrial,48417,86,23,18.9,Weekend,6146.35
Residential,44960,10,35,29.67,Weekday,4449.66
Residential,14047,50,46,29.34,Weekday,3525.66
Residential,26712,60,42,20.2,Weekday,4224.59
Commercial,11872,66,37,28.67,Weekday,3900.25
Industrial,11622,93,4,25.21,Weekend,3965.05
Residential,9577,90,49,17.05,Weekend,3773.61
Industrial,838,34,45,23.29,Weekday,3715.45
Commercial,10016,85,8,24.61,Weekday,3437.74
Residential,13487,39,32,30.67,Weekday,3101.02
Residential,15399,24,2,24.28,Weekday,2478.55
Commercial,16978,48,14,12.46,Weekend,3546.62
Commercial,11746,1,18,24.76,Weekday,2883.5
Residential,32913,21,8,13.77,Weekday,3496.82
Industrial,49582,63,37,32.14,Weekend,6188.4
Industrial,48802,85,9,14.35,Weekday,5948.34
Commercial,42152,47,21,27.7,Weekend,4859.08
Commercial,31980,2,33,30.43,Weekend,4126.84
Industrial,22304,74,29,11.39,Weekend,4878.26
Residential,49958,33,8,28.35,Weekend,4346.16
Commercial,5353,20,18,32.04,Weekend,2667.44
Industrial,44913,55,48,25.1,Weekend,6130.17
Commercial,27157,67,38,21.08,Weekend,4682.44
Commercial,15860,95,32,16.24,Weekday,4351.81
Industrial,9823,32,5,17.67,Weekend,3322.79
Residential,47324,30,32,25.49,Weekend,4678.75
Residential,48785,84,6,20.48,Weekend,4796.83
Commercial,16063,8,24,30.91,Weekend,3208.59
Commercial,10593,32,19,23.55,Weekday,3161.9
Industrial,37511,47,45,25.14,Weekday,5669.86
Commercial,32696,19,37,24.33,Weekend,4443.15
Commercial,25564,87,34,15.2,Weekday,4802.21
Residential,36624,74,30,30.45,Weekend,4518.97
Commercial,38284,36,8,12.75,Weekend,4370.44
Commercial,28904,3,3,32.11,Weekday,3424.66
Commercial,9700,20,35,27.42,Weekday,3297.91
Industrial,26899,36,45,25.43,Weekend,4977.79
Industrial,1422,44,24,16.79,Weekday,3457.17
Commercial,39065,94,38,16.96,Weekend,5568.44
Commercial,2328,69,16,12.36,Weekday,3114.61
Residential,27484,47,48,28.79,Weekend,4160.27
Residential,20415,35,5,31.08,Weekend,2815.34
Commercial,33620,98,5,12.47,Weekday,4748.66
Industrial,18102,21,35,31.59,Weekday,4207.14
Industrial,9708,70,24,31.32,Weekend,4008.78
Residential,16532,8,18,32.12,Weekend,2605.98
Industrial,34516,75,15,23.3,Weekday,5209.3
Commercial,36237,45,23,29.86,Weekday,4622.54
Residential,31061,94,17,11.66,Weekend,4274.73
Commercial,20991,83,29,31.85,Weekend,4300.28
Commercial,21306,21,35,27.24,Weekday,3889.08
Commercial,3889,21,40,27.75,Weekday,3115.68
Residential,11802,15,34,10.25,Weekend,2868.84
Residential,7509,30,18,10.51,Weekday,2532.88
Commercial,39350,77,11,12.22,Weekday,4946.38
Residential,44142,62,38,30.82,Weekday,4983.0
Commercial,29759,94,14,28.28,Weekday,4616.56
Industrial,21927,95,10,33.51,Weekday,4628.8
Residential,47564,23,44,25.48,Weekend,4860.8
Industrial,7145,67,37,21.23,Weekday,4211.11
Residential,17153,9,1,34.06,Weekday,2347.37
Commercial,12245,85,4,22.85,Weekend,3428.02
Industrial,42398,44,22,30.32,Weekend,5348.31
Commercial,8936,38,24,23.33,Weekday,3240.14
Commercial,21788,21,9,21.56,Weekend,3371.6
Commercial,20494,18,9,15.93,Weekend,3305.06
Industrial,20478,80,41,20.69,Weekend,5040.46
Residential,2470,65,46,20.94,Weekday,3138.81
Residential,1045,60,46,24.71,Weekend,2948.69
Industrial,29029,82,30,21.74,Weekend,5262.76
Commercial,5099,39,6,16.24,Weekend,2683.73
Commercial,36908,60,9,28.82,Weekday,4531.32
Industrial,30281,46,12,20.46,Weekend,4611.73
Residential,48775,54,27,17.78,Weekday,4979.87
Industrial,48337,69,44,15.67,Weekday,6458.51
Industrial,34893,86,28,16.18,Weekday,5633.76
Commercial,5280,49,26,30.56,Weekend,3121.19
Residential,15828,52,11,29.55,Weekend,2883.63
Residential,26212,35,1,23.3,Weekend,3064.11
Residential,14419,68,44,23.95,Weekend,3661.21
Industrial,12194,7,22,14.67,Weekend,3546.34
Commercial,39562,88,20,32.18,Weekday,5147.21
Residential,8348,67,37,16.48,Weekend,3244.98
Commercial,15813,57,11,31.4,Weekend,3423.63
